date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:34:21	662/662	---M-Z	200	added ('OK')	text/plain	etag:%228f3-596e945e39087-gzip%22	https://aapkapainter.com/robots.txt		(from )
16:34:21	62775/62775	---MCZ	200	added ('OK')	text/html	date:Tue,%2031%20Mar%202020%2011:04:23%20GMT	https://aapkapainter.com/	D:/Painting%20websites/Painting%20Website/aapkapainter.com/index.html	(from )
16:34:22	6481/6481	---M--	200	added ('OK')	image/png	etag:%221951-56df996efb721%22	https://aapkapainter.com/assets/newdesign/images/logo/logo.png	D:/Painting%20websites/Painting%20Website/aapkapainter.com/assets/newdesign/images/logo/logo.png	(from https://aapkapainter.com/)
16:34:22	21172/21172	---M--	200	added ('OK')	image/png	etag:%2252b4-5845d01454a31%22	https://aapkapainter.com/assets/newdesign/images/logo/logo-square.png	D:/Painting%20websites/Painting%20Website/aapkapainter.com/assets/newdesign/images/logo/logo-square.png	(from https://aapkapainter.com/)
16:34:23	4286/4286	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%2210be-56e1d4e5e427f%22	https://aapkapainter.com/assets/images/favicon/favicon.ico	D:/Painting%20websites/Painting%20Website/aapkapainter.com/assets/images/favicon/favicon.ico	(from https://aapkapainter.com/)
16:34:23	47428/47428	---M-Z	200	added ('OK')	text/css	etag:%22b944-56df996ee5f61-gzip%22	https://aapkapainter.com/assets/newdesign/css/animate.min.css	D:/Painting%20websites/Painting%20Website/aapkapainter.com/assets/newdesign/css/animate.min.css	(from https://aapkapainter.com/)
16:34:23	4686/4686	---MCZ	200	added ('OK')	text/css	etag:W/%221719-56df996ee6f01-gzip%22	https://aapkapainter.com/assets/newdesign/css/owl.carousel.css	D:/Painting%20websites/Painting%20Website/aapkapainter.com/assets/newdesign/css/owl.carousel.css	(from https://aapkapainter.com/)
16:34:24	120398/120398	---MCZ	200	added ('OK')	text/css	etag:W/%2221952-5a1abfe3eeb8e-gzip%22	https://aapkapainter.com/assets/newdesign/css/bootstrap.css	D:/Painting%20websites/Painting%20Website/aapkapainter.com/assets/newdesign/css/bootstrap.css	(from https://aapkapainter.com/)
16:34:24	23728/23728	---M-Z	200	added ('OK')	text/css	etag:%225cb0-5a04225d58a0f-gzip%22	https://aapkapainter.com/assets/newdesign/fonts/font-awesome.min.css	D:/Painting%20websites/Painting%20Website/aapkapainter.com/assets/newdesign/fonts/font-awesome.min.css	(from https://aapkapainter.com/)
16:34:24	2818/2818	---MCZ	200	added ('OK')	text/css	etag:W/%22e25-59a714feb4b0e-gzip%22	https://aapkapainter.com/assets/newdesign/fonts/fonts.css	D:/Painting%20websites/Painting%20Website/aapkapainter.com/assets/newdesign/fonts/fonts.css	(from https://aapkapainter.com/)
16:34:25	173763/173763	---MCZ	200	added ('OK')	text/css	etag:W/%2232ab1-5a1abfe3eeb8e-gzip%22	https://aapkapainter.com/assets/newdesign/css/style.css	D:/Painting%20websites/Painting%20Website/aapkapainter.com/assets/newdesign/css/style.css	(from https://aapkapainter.com/)
16:34:25	56021/56021	---MCZ	200	added ('OK')	text/css	etag:W/%2210f5c-58c2572a290ad-gzip%22	https://aapkapainter.com/assets/newdesign/css/responsive.css	D:/Painting%20websites/Painting%20Website/aapkapainter.com/assets/newdesign/css/responsive.css	(from https://aapkapainter.com/)
16:34:25	2517/2517	---MCZ	200	added ('OK')	text/css	etag:W/%22d14-570f40d983605-gzip%22	https://aapkapainter.com/assets/newdesign/css/google-reviews.css	D:/Painting%20websites/Painting%20Website/aapkapainter.com/assets/newdesign/css/google-reviews.css	(from https://aapkapainter.com/)
16:34:26	3224/3224	---M-Z	200	added ('OK')	application/x-javascript	etag:%22e78721c0df6f19092cd2ab48ee717a32%22	http://connect.facebook.net/en_US/sdk.js	D:/Painting%20websites/Painting%20Website/connect.facebook.net/en_US/sdk.js	(from https://aapkapainter.com/)
16:34:27	97163/97163	---M-Z	200	added ('OK')	application/javascript	etag:%2217b8b-59a960c601663-gzip%22	https://aapkapainter.com/assets/js/jquery.min.js	D:/Painting%20websites/Painting%20Website/aapkapainter.com/assets/js/jquery.min.js	(from https://aapkapainter.com/)
16:34:28	128769/128769	---M-Z	200	added ('OK')	application/x-javascript	date:Tue,%2031%20Mar%202020%2011:04:30%20GMT	https://connect.facebook.net/en_US/fbevents.js	D:/Painting%20websites/Painting%20Website/connect.facebook.net/en_US/fbevents.js	(from https://aapkapainter.com/)
16:34:28	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2031%20Mar%202020%2011:04:31%20GMT	https://www.googletagmanager.com/gtm.js?id=	D:/Painting%20websites/Painting%20Website/www.googletagmanager.com/gtm.e5445.delayed	(from https://aapkapainter.com/)
16:34:30	185888/185888	---MCZ	200	added ('OK')	text/html	date:Tue,%2031%20Mar%202020%2011:04:32%20GMT	https://aapkapainter.com/recent-projects	D:/Painting%20websites/Painting%20Website/aapkapainter.com/recent-projects.html	(from https://aapkapainter.com/)
